Label,x,y,z,x acc,y acc,z acc,yaw,pitch,roll,yaw acc,pitch acc,roll acc
DSLR1_IMG_0152.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4513932,10.09515223,4.464487011,0.01,0.01,0.01
DSLR1_IMG_0153.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4397598,10.11259494,4.435390277,0.01,0.01,0.01
DSLR1_IMG_0153.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4397598,10.11259494,4.435390277,0.01,0.01,0.01
DSLR1_IMG_0165.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4212879,10.13408586,4.405063817,0.01,0.01,0.01
DSLR1_IMG_0174.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4406518,10.06849347,4.406319156,0.01,0.01,0.01
DSLR1_IMG_0174.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4406518,10.06849347,4.406319156,0.01,0.01,0.01
DSLR1_IMG_0175.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4646715,10.14936987,4.402742945,0.01,0.01,0.01
DSLR1_IMG_0176.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5281476,10.14337157,4.414856886,0.01,0.01,0.01
DSLR1_IMG_0177.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4661702,10.13556817,4.410529678,0.01,0.01,0.01
DSLR1_IMG_0187.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4484195,10.11493053,4.392450242,0.01,0.01,0.01
DSLR1_IMG_0188.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4278959,10.13033769,4.400887235,0.01,0.01,0.01
DSLR1_IMG_0197.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4337133,10.07868932,4.401026057,0.01,0.01,0.01
DSLR1_IMG_0197.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4337133,10.07868932,4.401026057,0.01,0.01,0.01
DSLR1_IMG_0200.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4687237,10.11319583,4.401028001,0.01,0.01,0.01
DSLR1_IMG_0211.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4859724,10.10309693,4.372647281,0.01,0.01,0.01
DSLR1_IMG_0212.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4769432,10.16545613,4.413688711,0.01,0.01,0.01
